id,type,title,director,cast,country,date_added,release_year,rating,duration_type,duration_int,score
ns1,movie,dick johnson is dead,kirsten johnson,SinDato,united states,2021-09-25,2020,pg-13,min,90,3.611111111111111
ns2,tv show,blood & water,SinDato,"ama qamata, khosi ngema, gail mabalane, thabang molaba, dillon windvogel, natasha thahane, arno greeff, xolile tshabalala, getmore sithole, cindy mahlangu, ryle de morny, greteli fincham, sello maake ka-ncube, odwa gwanya, mekaila mathys, sandi schultz, duane williams, shamilla miller, patrick mofokeng",south africa,2021-09-24,2021,tv-ma,season,2,3.5526315789473686
ns3,tv show,ganglands,julien leclercq,"sami bouajila, tracy gotoas, samuel jouy, nabiha akkari, sofia lesaffre, salim kechiouche, noureddine farihi, geert van rampelberg, bakary diombera",SinDato,2021-09-24,2021,tv-ma,season,1,3.597938144329897
ns4,tv show,jailbirds new orleans,SinDato,SinDato,SinDato,2021-09-24,2021,tv-ma,season,1,3.5616161616161617
ns5,tv show,kota factory,SinDato,"mayur more, jitendra kumar, ranjan raj, alam khan, ahsaas channa, revathi pillai, urvi singh, arun kumar",india,2021-09-24,2021,tv-ma,season,2,3.5930232558139537
ns6,tv show,midnight mass,mike flanagan,"kate siegel, zach gilford, hamish linklater, henry thomas, kristin lehman, samantha sloyan, igby rigney, rahul kohli, annarah cymone, annabeth gish, alex essoe, rahul abburi, matt biedel, michael trucco, crystal balint, louis oliver",SinDato,2021-09-24,2021,tv-ma,season,1,3.523404255319149
ns7,movie,my little pony: a new generation,"robert cullen, josé luis ucha","vanessa hudgens, kimiko glenn, james marsden, sofia carson, liza koshy, ken jeong, elizabeth perkins, jane krakowski, michael mckean, phil lamarr",SinDato,2021-09-24,2021,pg,min,91,3.4821826280623607
ns8,movie,sankofa,haile gerima,"kofi ghanaba, oyafunmike ogunlano, alexandra duah, nick medley, mutabaruka, afemo omilami, reggie carter, mzuri","united states, ghana, burkina faso, united kingdom, germany, ethiopia",2021-09-24,1993,tv-ma,min,125,3.4917355371900825
ns9,tv show,the great british baking show,andy devonshire,"mel giedroyc, sue perkins, mary berry, paul hollywood",united kingdom,2021-09-24,2021,tv-14,season,9,3.5913757700205338
ns10,movie,the starling,theodore melfi,"melissa mccarthy, chris o'dowd, kevin kline, timothy olyphant, daveed diggs, skyler gisondo, laura harrier, rosalind chao, kimberly quinn, loretta devine, ravi kapoor",united states,2021-09-24,2021,pg-13,min,104,3.571583514099783
ns11,tv show,"vendetta: truth, lies and the mafia",SinDato,SinDato,SinDato,2021-09-24,2021,tv-ma,season,1,3.5325379609544467
ns12,tv show,bangkok breaking,kongkiat komesiri,"sukollawat kanarot, sushar manaying, pavarit mongkolpisit, sahajak boonthanakit, suthipongse thatphithakkul, bhasaworn bawronkirati, daweerit chullasapya, waratthaya wongchayaporn, kittiphoom wongpentak, abhicha thanachanun, nophand boonyai, kittipong khamsat, arisara wongchalee, jaytiya naiwattanakul, pantipa arunwattanachai, panupan jantanawong, kungtap saelim, phumphat chartsuriyakiat, issara veranitinunt, keerati sivakuae, panjai sirisuwan, supranee charoenpol, suda chuenban, visaka banhansupavat, pitchatorn santinatornkul",SinDato,2021-09-23,2021,tv-ma,season,1,3.566945606694561
ns13,movie,je suis karl,christian schwochow,"luna wedler, jannis niewöhner, milan peschel, edin hasanović, anna fialová, marlon boess, victor boccard, fleur geffrier, aziz dyab, mélanie fouché, elizaveta maximová","germany, czech republic",2021-09-23,2021,tv-ma,min,127,3.5319148936170213
ns14,movie,confessions of an invisible girl,bruno garotti,"klara castanho, lucca picon, júlia gomes, marcus bessa, kiria malheiros, fernanda concon, gabriel lima, caio cabral, leonardo cidade, jade cardozo",SinDato,2021-09-22,2021,tv-pg,min,91,3.5808189655172415
ns15,tv show,crime stories: india detectives,SinDato,SinDato,SinDato,2021-09-22,2021,tv-ma,season,1,3.482646420824295
ns16,tv show,dear white people,SinDato,"logan browning, brandon p. bell, deron horton, antoinette robertson, john patrick amedori, ashley blaine featherson, marque richardson, giancarlo esposito",united states,2021-09-22,2021,tv-ma,season,4,3.5349794238683128
ns17,movie,europe's most dangerous man: otto skorzeny in spain,"pedro de echave garcía, pablo azorín williams",SinDato,SinDato,2021-09-22,2020,tv-ma,min,67,3.5251141552511416
ns18,tv show,falsa identidad,SinDato,"luis ernesto franco, camila sodi, sergio goyri, samadhi zendejas, eduardo yáñez, sonya smith, alejandro camacho, azela robinson, uriel del toro, géraldine bazán, gabriela roel, marcus ornellas",mexico,2021-09-22,2020,tv-ma,season,2,3.5402414486921527
ns19,movie,intrusion,adam salky,"freida pinto, logan marshall-green, robert john burke, megan elisabeth kelly, sarah minnich, hayes hargrove, mark sivertsen, brandon fierro, antonio valles, clint obenchain",SinDato,2021-09-22,2021,tv-14,min,94,3.5417515274949083
ns20,tv show,jaguar,SinDato,"blanca suárez, iván marcos, óscar casas, adrián lastra, francesc garrido, stefan weinert, julia möller, alicia chojnowski",SinDato,2021-09-22,2021,tv-ma,season,1,3.5632530120481927
ns21,tv show,monsters inside: the 24 faces of billy milligan,olivier megaton,SinDato,SinDato,2021-09-22,2021,tv-14,season,1,3.5417536534446765
ns22,tv show,resurrection: ertugrul,SinDato,"engin altan düzyatan, serdar gökhan, hülya darcan, kaan taşaner, esra bilgiç, osman soykut, serdar deniz, cengiz coşkun, reshad strik, hande subaşı",turkey,2021-09-22,2018,tv-14,season,5,3.5701030927835053
ns23,movie,avvai shanmughi,k.s. ravikumar,"kamal hassan, meena, gemini ganesan, heera rajgopal, nassar, s.p. balasubrahmanyam",SinDato,2021-09-21,1996,tv-pg,min,161,3.4762396694214877
ns24,movie,go! go! cory carson: chrissy takes the wheel,"alex woo, stanley moore","maisie benson, paul killam, kerry gudjohnsen, ac lim",SinDato,2021-09-21,2021,tv-y,min,61,3.45959595959596
ns25,movie,jeans,s. shankar,"prashanth, aishwarya rai bachchan, sri lakshmi, nassar",india,2021-09-21,1998,tv-14,min,166,3.548780487804878
ns26,tv show,love on the spectrum,SinDato,brooke satchwell,australia,2021-09-21,2021,tv-14,season,2,3.4832285115303985
ns27,movie,minsara kanavu,rajiv menon,"arvind swamy, kajol, prabhu deva, nassar, s.p. balasubrahmanyam, girish karnad",SinDato,2021-09-21,1997,tv-pg,min,147,3.5217391304347827
ns28,movie,grown ups,dennis dugan,"adam sandler, kevin james, chris rock, david spade, rob schneider, salma hayek, maria bello, maya rudolph, colin quinn, tim meadows, joyce van patten",united states,2021-09-20,2010,pg-13,min,103,3.4483471074380163
ns29,movie,dark skies,scott stewart,"keri russell, josh hamilton, j.k. simmons, dakota goyo, kadan rockett, l.j. benet, rich hutchman, myndy crist, annie thurman, jake brennan",united states,2021-09-19,2013,pg-13,min,97,3.427865612648221
ns30,movie,paranoia,robert luketic,"liam hemsworth, gary oldman, amber heard, harrison ford, lucas till, embeth davidtz, julian mcmahon, josh holloway, richard dreyfuss, angela sarafyan","united states, india, france",2021-09-19,2013,pg-13,min,106,3.5491329479768785
ns31,movie,ankahi kahaniya,"ashwiny iyer tiwari, abhishek chaubey, saket chaudhary","abhishek banerjee, rinku rajguru, delzad hiwale, kunal kapoor, zoya hussain, nikhil dwivedi, palomi ghosh",SinDato,2021-09-17,2021,tv-14,min,111,3.4739583333333335
ns32,tv show,chicago party aunt,SinDato,"lauren ash, rory o'malley, rupaul charles, jill talley, ike barinholtz, jon barinholtz, matthew craig, bob odenkirk, mike hagerty, katie rich, chris witaske",SinDato,2021-09-17,2021,tv-ma,season,1,3.503118503118503
ns33,tv show,sex education,SinDato,"asa butterfield, gillian anderson, ncuti gatwa, emma mackey, connor swindells, kedar williams-stirling, alistair petrie",united kingdom,2021-09-17,2020,tv-ma,season,3,3.6013916500994037
ns34,tv show,squid game,SinDato,"lee jung-jae, park hae-soo, wi ha-jun, oh young-soo, jung ho-yeon, heo sung-tae, kim joo-ryoung, tripathi anupam, you seong-joo, lee you-mi",SinDato,2021-09-17,2021,tv-ma,season,1,3.5517241379310347
ns35,tv show,tayo and little wizards,SinDato,"dami lee, jason lee, bommie catherine han, jennifer waescher, nancy kim",SinDato,2021-09-17,2020,tv-y7,season,1,3.5158562367864694
ns36,movie,the father who moves mountains,daniel sandu,"adrian titieni, elena purea, judith state, valeriu andriuță, tudor smoleanu, virgil aioanei, radu botar, petronela grigorescu, bogdan nechifor, cristian bota",SinDato,2021-09-17,2021,tv-ma,min,110,3.5357873210633946
ns37,movie,the stronghold,cédric jimenez,"gilles lellouche, karim leklou, françois civil, adèle exarchopoulos, kenza fortas, cyril lecomte, michaël abiteboul, idir azougli, vincent darmuzey, jean-yves berteloot",SinDato,2021-09-17,2021,tv-ma,min,105,3.596629213483146
ns38,tv show,angry birds,SinDato,"antti pääkkönen, heljä heikkinen, lynne guaglione, pasi ruohonen, rauno ahonen",finland,2021-09-16,2018,tv-y7,season,1,3.5670859538784065
ns39,movie,birth of the dragon,george nolfi,"billy magnussen, ron yuan, qu jingjing, terry chen, vanness wu, jin xing, philip ng, xia yu, yu xia","china, canada, united states",2021-09-16,2017,pg-13,min,96,3.6122661122661124
ns40,tv show,chhota bheem,SinDato,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",india,2021-09-16,2021,tv-y7,season,3,3.437362637362637
ns41,tv show,he-man and the masters of the universe,SinDato,"yuri lowenthal, kimberly brooks, antony del rio, trevor devall, ben diskin, grey griffin, david kaye, tom kenny, judy alice lee, roger craig smith, fred tatasciore",united states,2021-09-16,2021,tv-y7,season,1,3.5707070707070705
ns42,movie,jaws,steven spielberg,"roy scheider, robert shaw, richard dreyfuss, lorraine gary, murray hamilton, carl gottlieb, jeffrey kramer, susan backlinie, jonathan filley, ted grossman",united states,2021-09-16,1975,pg,min,124,3.447261663286004
ns43,movie,jaws 2,jeannot szwarc,"roy scheider, lorraine gary, murray hamilton, joseph mascolo, jeffrey kramer, collin wilcox paxton, ann dusenberry, mark gruner, barry coe, susan french",united states,2021-09-16,1978,pg,min,116,3.52549889135255
ns44,movie,jaws 3,joe alves,"dennis quaid, bess armstrong, simon maccorkindale, louis gossett jr., john putch, lea thompson, p.h. moriarty, dan blasko, liz morris, lisa maurer",united states,2021-09-16,1983,pg,min,98,3.535070140280561
ns45,movie,jaws: the revenge,joseph sargent,"lorraine gary, lance guest, mario van peebles, karen young, michael caine, judith barsi, mitchell anderson, lynn whitfield",united states,2021-09-16,1987,pg-13,min,91,3.5637860082304527
ns46,movie,my heroes were cowboys,tyler greco,SinDato,SinDato,2021-09-16,2021,pg,min,23,3.5584269662921346
ns47,movie,safe house,daniel espinosa,"denzel washington, ryan reynolds, vera farmiga, brendan gleeson, sam shepard, rubén blades, nora arnezeder, robert patrick, liam cunningham, joel kinnaman","south africa, united states, japan",2021-09-16,2012,r,min,115,3.4725877192982457
ns48,tv show,the smart money woman,bunmi ajakaiye,"osas ighodaro, ini dima-okojie, kemi lala akindoju, toni tones, ebenezer eno, eso okolocha dike, patrick diabuah, karibi fubara, temisan emmanuel, timini egbuson",SinDato,2021-09-16,2020,tv-ma,season,1,3.578028747433265
ns49,movie,training day,antoine fuqua,"denzel washington, ethan hawke, scott glenn, tom berenger, harris yulin, raymond j. barry, cliff curtis, dr. dre, snoop dogg, macy gray, eva mendes",united states,2021-09-16,2001,r,min,122,3.4625984251968505
ns50,tv show,castle and castle,SinDato,"richard mofe-damijo, dakore akande, bimbo manuel, blossom chukwujekwu, deyemi okanlawon, etim effiong, denola grey, duke akintola, eku edewor, ade laoye, anee icha, kevin ushi, jude chukwuka, amanda afolabi",nigeria,2021-09-15,2021,tv-ma,season,2,3.570945945945946
ns51,tv show,dharmakshetra,SinDato,"kashmira irani, chandan anand, dinesh mehta, ankit arora, pushkar goggiaa, anjali rana, aarya dharmchand kumar, amit behl, maleeka ghai",india,2021-09-15,2014,tv-pg,season,1,3.5609504132231407
ns52,movie,inuyasha the movie 2: the castle beyond the looking glass,toshiya shinohara,"kappei yamaguchi, satsuki yukino, mieko harada, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, kenichi ogata, toshiyuki morikawa, izumi ogami",japan,2021-09-15,2002,tv-14,min,99,3.5592105263157894
ns53,movie,inuyasha the movie 3: swords of an honorable ruler,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, ken narita, akio otsuka, kikuko inoue",japan,2021-09-15,2003,tv-14,min,99,3.5395833333333333
ns54,movie,inuyasha the movie 4: fire on the mystic island,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, ken narita, cho, mamiko noto, nobutoshi canna",japan,2021-09-15,2004,tv-pg,min,88,3.533049040511727
